Transaction Date,Processed Date,Amount,Details
21/03/2019,21/03/2019,622.61,Direct Debit Payment -  
18/03/2019,19/03/2019,-5,Daily Bread            Auckland      NZL -  
10/03/2019,11/03/2019,-14.14,Farro Fresh Grey Lynn  Grey Lynn     NZL -  
06/03/2019,07/03/2019,-33.28,Farro Fresh Grey Lynn  Grey Lynn     NZL -  
03/03/2019,04/03/2019,-6.95,Amazon web services    aws.amazon.co WA - 03/03/19          4.63    USD 0.15
03/03/2019,04/03/2019,-57.68,Mitre 10 Ponsonby      Auckland      NZL -  
03/03/2019,04/03/2019,-6.5,Farro Fresh Grey Lynn  Grey Lynn     NZL -  
02/03/2019,04/03/2019,-46,Brothers Brewery       Auckland      NZL -  
28/02/2019,01/03/2019,-14.33,Countdown Ponsonby     Auckland      NZL -  
28/02/2019,01/03/2019,-16.69,Farro Fresh Grey Lynn  Grey Lynn     NZL -  
26/02/2019,27/02/2019,-13.48,Farro Fresh Grey Lynn  Grey Lynn     NZL -  
25/02/2019,27/02/2019,-900,Skincheck Limited      Auckland NZ   NZL -  
24/02/2019,25/02/2019,-18.93,Farro Fresh Grey Lynn  Grey Lynn     NZL -  
24/02/2019,25/02/2019,-12.39,Countdown Grey Lynn    Auckland      NZL -  
24/02/2019,25/02/2019,-4.64,Fruit World Ponsonby   Auckland      NZL -  
23/02/2019,25/02/2019,-11.85,Farro Fresh Grey Lynn  Grey Lynn     NZL -  
22/02/2019,25/02/2019,-40.47,Harvest                Auckland      NZL -  
20/02/2019,21/02/2019,-33.47,Mitre 10 Ponsonby      Auckland      NZL -  
20/02/2019,21/02/2019,-5.99,Farro Fresh Grey Lynn  Grey Lynn     NZL -  
19/02/2019,20/02/2019,-27.97,Bunnings - 9518 Grey L Auckland      NZL -  
18/02/2019,19/02/2019,-19.54,Bunnings - 9518 Grey L Auckland      NZL -  
18/02/2019,18/02/2019,973.75,Direct Debit Payment -  
13/02/2019,14/02/2019,125.8,Mitre 10 Mega New Lynn Auckland      NZL -  
13/02/2019,14/02/2019,-43.39,Mitre 10 Mega New Lynn Auckland      NZL -  
13/02/2019,14/02/2019,-30.3,Aussie Butcher New Lyn Waitakere     NZL -  
13/02/2019,15/02/2019,-32.56,New World New Lynn     Auckland      NZL -  
13/02/2019,14/02/2019,-15.99,Placemakers New Lynn   New Lynn      NZL -  
10/02/2019,11/02/2019,-265.69,Mitre 10 Mega New Lynn Auckland      NZL -  
10/02/2019,12/02/2019,-8.58,New World New Lynn     Auckland      NZL -  
10/02/2019,11/02/2019,-198.02,Placemakers New Lynn   New Lynn      NZL -  
08/02/2019,11/02/2019,-15.75,Harvest By Huckleberry Auckland      NZL -  
02/02/2019,04/02/2019,-7.46,Amazon web services    aws.amazon.co WA - 02/02/19          5.03    USD 0.17
